job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,required_skills,company_name
AI14108,AI Specialist,223978,EUR,EX,CT,Germany,S,Austria,"Kubernetes, AWS, Mathematics",DataVision Ltd
AI13686,AI Consultant,223897,EUR,EX,CT,Netherlands,L,Netherlands,"Git, Hadoop, Data Visualization",DataVision Ltd
AI00239,Machine Learning Engineer,223757,EUR,EX,FL,Germany,S,Germany,"Git, Statistics, Data Visualization, Python, Scala",Digital Transformation LLC
AI08139,Robotics Engineer,223261,EUR,EX,FL,France,L,France,"TensorFlow, Statistics, Python, NLP",Neural Networks Co
AI14801,Computer Vision Engineer,223253,EUR,EX,PT,Netherlands,M,Netherlands,"Java, R, Docker, Mathematics, MLOps",Algorithmic Solutions
AI04749,ML Ops Engineer,222678,EUR,EX,CT,Netherlands,M,Switzerland,"Data Visualization, Java, NLP, Docker",Digital Transformation LLC
AI07558,Machine Learning Engineer,222567,EUR,EX,PT,France,M,United Kingdom,"Python, TensorFlow, PyTorch, Mathematics, SQL",Autonomous Tech
AI00748,AI Research Scientist,222528,EUR,EX,FL,Germany,L,Switzerland,"Linux, Git, Data Visualization",Advanced Robotics
AI03843,AI Consultant,222455,EUR,EX,PT,Germany,L,Germany,"Linux, Java, Docker, GCP",DataVision Ltd
AI00294,AI Consultant,222223,EUR,EX,PT,Netherlands,M,Netherlands,"Data Visualization, Hadoop, Scala, AWS",Cloud AI Solutions
AI10618,AI Research Scientist,222205,EUR,EX,FT,Netherlands,M,Netherlands,"SQL, Python, Data Visualization, NLP",Algorithmic Solutions
AI06951,Robotics Engineer,222198,EUR,EX,PT,Netherlands,M,Netherlands,"Computer Vision, Python, Linux, Mathematics, Hadoop",Digital Transformation LLC
AI00148,Machine Learning Researcher,220439,EUR,EX,PT,Netherlands,S,Netherlands,"SQL, Data Visualization, GCP, Deep Learning, MLOps",Cognitive Computing
AI12230,AI Research Scientist,220069,EUR,EX,FT,Netherlands,S,Norway,"R, Tableau, MLOps, SQL",Machine Intelligence Group
AI11111,Data Engineer,219960,EUR,EX,FL,Netherlands,L,Sweden,"PyTorch, NLP, Hadoop",DataVision Ltd
AI01702,Principal Data Scientist,219041,EUR,EX,FT,Germany,M,Germany,"Tableau, R, Python, Mathematics, NLP",DeepTech Ventures
AI04437,AI Software Engineer,218860,EUR,EX,PT,France,M,France,"Linux, SQL, Kubernetes",Cognitive Computing
AI05540,Machine Learning Researcher,218418,EUR,EX,PT,France,L,France,"SQL, Git, Linux",TechCorp Inc
AI07880,Principal Data Scientist,218069,EUR,EX,CT,Netherlands,S,Netherlands,"GCP, Computer Vision, Python",DeepTech Ventures
AI12198,Autonomous Systems Engineer,217998,EUR,EX,PT,Germany,S,Germany,"Azure, Scala, TensorFlow",AI Innovations
AI06330,AI Specialist,217666,EUR,EX,PT,Netherlands,L,Netherlands,"NLP, Python, Java, TensorFlow",TechCorp Inc
AI10738,Robotics Engineer,217661,EUR,EX,PT,Netherlands,L,Netherlands,"Tableau, Spark, Statistics",Cognitive Computing
AI12050,AI Software Engineer,217616,EUR,EX,PT,France,L,France,"Linux, PyTorch, Hadoop, Azure, Java",TechCorp Inc
AI05019,AI Software Engineer,216468,EUR,EX,FL,France,M,India,"MLOps, SQL, Linux, Scala, TensorFlow",AI Innovations
AI10082,Head of AI,216411,EUR,EX,FL,Germany,L,Germany,"Python, Spark, Linux, Computer Vision",Smart Analytics
AI10451,Data Engineer,215973,EUR,EX,FT,Germany,M,Israel,"Python, Mathematics, TensorFlow",Smart Analytics
AI00945,Data Scientist,215545,EUR,EX,FT,Germany,L,Germany,"Python, TensorFlow, AWS, Deep Learning",Autonomous Tech
AI04515,Head of AI,215305,EUR,EX,PT,Netherlands,M,Singapore,"NLP, Data Visualization, Scala, MLOps",TechCorp Inc
AI14410,Principal Data Scientist,215126,EUR,EX,CT,Germany,L,Singapore,"Kubernetes, AWS, SQL",Algorithmic Solutions
AI09490,Data Analyst,214788,EUR,EX,PT,Netherlands,M,Netherlands,"Docker, Azure, MLOps, Tableau, TensorFlow",Cognitive Computing
AI00803,Data Engineer,213979,EUR,EX,PT,France,M,France,"Data Visualization, Docker, SQL",Digital Transformation LLC
AI04057,AI Software Engineer,213967,EUR,EX,FL,France,S,France,"Spark, NLP, AWS",Smart Analytics
AI05327,Principal Data Scientist,213815,EUR,EX,CT,Germany,L,Germany,"Hadoop, SQL, AWS",Neural Networks Co
AI01950,Robotics Engineer,213177,EUR,EX,FL,Germany,M,Germany,"SQL, Data Visualization, Scala",Machine Intelligence Group
AI03316,Data Engineer,212905,EUR,EX,PT,Germany,L,Germany,"AWS, Scala, NLP, Computer Vision, TensorFlow",Smart Analytics
AI03156,Robotics Engineer,212560,EUR,EX,CT,Germany,M,Germany,"R, Python, GCP, Computer Vision",Cognitive Computing
AI14246,AI Specialist,212449,EUR,EX,CT,Netherlands,M,Switzerland,"R, Statistics, SQL",AI Innovations
AI03939,AI Software Engineer,212276,EUR,EX,CT,Germany,S,United Kingdom,"R, SQL, Data Visualization, PyTorch, TensorFlow",DeepTech Ventures
AI06925,Machine Learning Researcher,212170,EUR,EX,FL,France,M,France,"Azure, Docker, Tableau",Digital Transformation LLC
AI13235,NLP Engineer,212101,EUR,EX,FL,Netherlands,S,Netherlands,"Hadoop, Data Visualization, Git, Kubernetes",Smart Analytics
AI02949,AI Architect,212033,EUR,EX,FL,Germany,S,Germany,"Python, Computer Vision, Kubernetes",Smart Analytics
AI08149,Principal Data Scientist,211993,EUR,EX,PT,Germany,S,Germany,"GCP, Python, Data Visualization, TensorFlow, Deep Learning",Autonomous Tech
AI08640,Principal Data Scientist,211903,EUR,EX,FT,France,L,France,"Azure, Spark, Data Visualization, MLOps, Java",DeepTech Ventures
AI05935,Robotics Engineer,211820,EUR,EX,FT,France,M,France,"Scala, GCP, Statistics, R",Cognitive Computing
AI11960,AI Consultant,211138,EUR,EX,PT,Germany,L,Germany,"Azure, Java, NLP",Autonomous Tech
AI05103,Robotics Engineer,211100,EUR,EX,CT,France,L,Sweden,"Tableau, Python, PyTorch, Hadoop",DeepTech Ventures
AI10869,Robotics Engineer,211079,EUR,EX,CT,Netherlands,M,Netherlands,"Spark, Linux, Deep Learning, Mathematics, AWS",Smart Analytics
AI10434,Data Engineer,210532,EUR,EX,FT,France,L,France,"R, Deep Learning, Tableau",DeepTech Ventures
AI09809,Data Analyst,210468,EUR,EX,CT,France,M,France,"Linux, Git, MLOps, Azure",DataVision Ltd
AI14537,Head of AI,210056,EUR,EX,PT,Netherlands,M,South Korea,"PyTorch, R, Git",TechCorp Inc
AI07167,Machine Learning Engineer,209900,EUR,EX,FT,Netherlands,S,Netherlands,"Kubernetes, AWS, Mathematics",Neural Networks Co
AI05853,ML Ops Engineer,209153,EUR,EX,FL,Netherlands,S,Israel,"Kubernetes, Azure, Data Visualization, MLOps, Python",Cognitive Computing
AI11726,Data Analyst,208515,EUR,EX,FL,Germany,M,Germany,"SQL, Python, Scala, PyTorch",DeepTech Ventures
AI13760,Computer Vision Engineer,208483,EUR,EX,PT,Germany,M,Canada,"Linux, Deep Learning, Spark, Statistics",Quantum Computing Inc
AI07380,Data Scientist,208249,EUR,EX,PT,France,L,France,"Git, Scala, Computer Vision, GCP",DataVision Ltd
AI09445,Robotics Engineer,207995,EUR,EX,FT,France,M,France,"Python, Git, Java",Digital Transformation LLC
AI07486,Head of AI,207953,EUR,EX,FT,Germany,M,Germany,"Statistics, Computer Vision, PyTorch",AI Innovations
